2009-09-14|NIU|H/Body 0.00 |T/Body 0.00 |CHG_PCT 9.6 |CHG/ATR nan |B/CHG 0.75 |B/ATR nan |V/LONG 1.7 |V/SHORT 1.0 |V/PREV 0.4 |O 4.2 |H 4.5 |L 4.2 |C 4.5 |V 38 Thousand
2009-09-15|RED|H/Body 0.00 |T/Body 15.00 |CHG_PCT 4.4 |CHG/ATR nan |B/CHG 0.05 |B/ATR nan |V/LONG 1.4 |V/SHORT 0.7 |V/PREV 0.8 |O 4.8 |H 4.8 |L 4.6 |C 4.8 |V 31 Thousand
2009-09-16|RED|H/Body 10.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG 1.0 |V/SHORT 0.5 |V/PREV 0.7 |O 4.8 |H 4.8 |L 4.8 |C 4.8 |V 23 Thousand
2009-09-17|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG 0.0 |V/SHORT 0.0 |V/PREV 0.0 |O 4.8 |H 4.8 |L 4.8 |C 4.8 |V 0
2009-09-18|NIU|H/Body 0.00 |T/Body 0.00 |CHG_PCT 3.6 |CHG/ATR nan |B/CHG 3.94 |B/ATR nan |V/LONG 0.0 |V/SHORT 0.0 |V/PREV inf |O 4.2 |H 4.9 |L 4.2 |C 4.9 |V 900
2009-09-21|NIU|H/Body 0.12 |T/Body 0.00 |CHG_PCT 0.6 |CHG/ATR nan |B/CHG 10.67 |B/ATR nan |V/LONG 0.1 |V/SHORT 0.1 |V/PREV 2.6 |O 4.6 |H 5.0 |L 4.6 |C 5.0 |V 2 Thousand
2009-09-22|NIU|H/Body 0.00 |T/Body 1.00 |CHG_PCT 1.0 |CHG/ATR nan |B/CHG 4.00 |B/ATR nan |V/LONG 0.5 |V/SHORT 0.9 |V/PREV 4.7 |O 4.8 |H 5.0 |L 4.6 |C 5.0 |V 11 Thousand
2009-09-23|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG 0.0 |V/SHORT 0.0 |V/PREV 0.0 |O 5.0 |H 5.0 |L 5.0 |C 5.0 |V 0
2009-09-24|NIU|H/Body 0.00 |T/Body 0.00 |CHG_PCT -0.6 |CHG/ATR nan |B/CHG -9.00 |B/ATR nan |V/LONG 0.1 |V/SHORT 0.8 |V/PREV inf |O 4.7 |H 5.0 |L 4.7 |C 5.0 |V 2 Thousand
2009-09-25|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG 0.0 |V/SHORT 0.0 |V/PREV 0.0 |O 5.0 |H 5.0 |L 5.0 |C 5.0 |V 0
2009-09-28|NIU|H/Body 0.00 |T/Body 0.00 |CHG_PCT -3.4 |CHG/ATR -0.9 |B/CHG -2.53 |B/ATR 2.2 |V/LONG 0.0 |V/SHORT 0.1 |V/PREV inf |O 4.4 |H 4.8 |L 4.4 |C 4.8 |V 300
2009-09-29|NIU|H/Body 0.32 |T/Body 0.13 |CHG_PCT 10.4 |CHG/ATR 2.5 |B/CHG 0.62 |B/ATR 1.5 |V/LONG 1.6 |V/SHORT 10.5 |V/PREV 93.0 |O 5.0 |H 5.4 |L 5.0 |C 5.3 |V 28 Thousand
