2013-09-03 | Bull | 0.71 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.8
2013-09-04 | Bull | 0.71 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.8
2013-09-05 | Bull | 0.71 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.7
2013-09-06 | Bull | 0.71 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.6
2013-09-09 | Bull | 0.71 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.5
2013-09-10 | Bull | 0.71 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.5
2013-09-11 | Bull | 0.71 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.4
2013-09-12 | Bull | 0.71 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.4
2013-09-13 | Bull | 0.71 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.3
2013-09-16 | Bull | 0.71 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.3
2013-09-17 | Bull | 0.71 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.3
2013-09-18 | Bull | 0.71 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.2
2013-09-19 | Bull | 0.71 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.2
2013-09-20 | Bull | 0.71 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.2
2013-09-23 | Bull | 0.71 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.2
2013-09-24 | Bull | 0.71 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.2
2013-09-25 | Bull | 0.71 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.1
2013-09-26 | Bull | 0.71 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.1
2013-09-27 | Bull | 0.71 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.1
2013-09-30 | Bull | 0.71 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.1
2013-10-01 | Bull | 0.71 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.1
2013-10-02 | Bull | 0.71 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.1
2013-10-03 | Bull | 0.71 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.1
2013-10-04 | Bull | 0.71 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.1
2013-10-07 | Bull | 0.71 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.1
2013-10-08 | Bull | 0.71 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.1
2013-10-09 | Bull | 0.71 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.1
2013-10-10 | Bull | 0.71 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.1
2013-10-11 | Bull | 0.71 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.1
2013-10-14 | Bull | 0.71 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.2
2013-10-15 | Bull | 0.71 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.2
2013-10-16 | Bull | 0.71 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.2
2013-10-17 | Bull | 0.71 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.2
2013-10-18 | Bull | 0.71 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.2
2013-10-21 | Bull | 0.71 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.2
2013-10-22 | Bull | 0.71 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.2
2013-10-23 | Bull | 0.71 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.3
2013-10-24 | Bull | 0.71 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.3
2013-10-25 | Bull | 0.71 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.3
2013-10-28 | Bull | 0.71 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.3
2013-10-29 | Bull | 0.71 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.3
2013-10-30 | Bull | 0.71 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.4
2013-10-31 | Bull | 0.71 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.4
2013-11-01 | Bull | 0.71 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.4
2013-11-04 | Bull | 0.71 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.4
2013-11-05 | Bull | 0.71 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.5
2013-11-06 | Bull | 0.71 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.5
2013-11-07 | Bull | 0.71 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.5
2013-11-08 | Bull | 0.71 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.6
2013-11-11 | Bull | 0.71 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.6
2013-11-12 | Bull | 0.71 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.6
2013-11-13 | Bull | 0.71 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.7
2013-11-14 | Bull | 0.71 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.7
2013-11-15 | Bull | 0.71 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.7
2013-11-18 | Bull | 0.71 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.8
2013-11-19 | Bull | 0.71 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.8
2013-11-20 | Bull | 0.71 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.8
2013-11-21 | Bull | 0.71 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.9
2013-11-22 | Bull | 0.71 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.9
2013-11-25 | Bull | 0.71 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.0
2013-11-26 | Bull | 0.71 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.0
2013-11-27 | Bull | 0.71 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.1
2013-11-29 | Bull | 0.71 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.1
2013-12-02 | Bull | 0.71 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.1
2013-12-03 | Bull | 0.71 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.2
2013-12-04 | Bull | 0.71 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.2
2013-12-05 | Bull | 0.71 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.3
2013-12-06 | Bull | 0.71 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.3
2013-12-09 | Bull | 0.71 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.4
2013-12-10 | Bull | 0.71 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.4
2013-12-11 | Bull | 0.71 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.5
