2000-05-09|RED|H/Body 0.27 |T/Body 0.91 |CHG_PCT -1.4 |CHG/ATR nan |B/CHG -2.20 |B/ATR nan |V/LONG 0.5 |V/SHORT 0.8 |V/PREV 1.0 |O 90.2 |H 91.0 |L 85.0 |C 87.5 |V 368 Thousand
2000-05-10|RED|H/Body 0.01 |T/Body 0.10 |CHG_PCT -9.9 |CHG/ATR nan |B/CHG -0.90 |B/ATR nan |V/LONG 0.8 |V/SHORT 1.2 |V/PREV 1.5 |O 86.6 |H 86.7 |L 78.1 |C 78.9 |V 571 Thousand
2000-05-11|NIU|H/Body 0.64 |T/Body 0.47 |CHG_PCT 4.3 |CHG/ATR nan |B/CHG 0.67 |B/ATR nan |V/LONG 0.7 |V/SHORT 1.2 |V/PREV 0.9 |O 80.0 |H 83.7 |L 78.9 |C 82.2 |V 512 Thousand
2000-05-12|RED|H/Body 0.95 |T/Body 0.00 |CHG_PCT -3.0 |CHG/ATR nan |B/CHG -1.90 |B/ATR nan |V/LONG 0.5 |V/SHORT 0.9 |V/PREV 0.8 |O 84.5 |H 89.0 |L 79.8 |C 79.8 |V 391 Thousand
2000-05-15|NIU|H/Body 0.24 |T/Body 0.66 |CHG_PCT 6.9 |CHG/ATR nan |B/CHG 1.07 |B/ATR nan |V/LONG 0.8 |V/SHORT 1.3 |V/PREV 1.5 |O 79.4 |H 86.6 |L 75.5 |C 85.2 |V 588 Thousand
2000-05-16|NIU|H/Body 0.54 |T/Body 0.20 |CHG_PCT 10.3 |CHG/ATR nan |B/CHG 0.57 |B/ATR nan |V/LONG 1.1 |V/SHORT 1.6 |V/PREV 1.3 |O 89.0 |H 96.7 |L 88.0 |C 94.0 |V 763 Thousand
2000-05-17|NIU|H/Body 0.36 |T/Body 0.01 |CHG_PCT 17.6 |CHG/ATR nan |B/CHG 0.70 |B/ATR nan |V/LONG 3.8 |V/SHORT 4.8 |V/PREV 3.5 |O 99.0 |H 114.6 |L 98.9 |C 110.5 |V 3 Million
2000-05-18|RED|H/Body 0.22 |T/Body 0.09 |CHG_PCT -6.8 |CHG/ATR nan |B/CHG -1.08 |B/ATR nan |V/LONG 1.3 |V/SHORT 1.1 |V/PREV 0.4 |O 111.1 |H 112.9 |L 102.3 |C 103.0 |V 1 Million
2000-05-19|NIU|H/Body 1.62 |T/Body 0.36 |CHG_PCT -0.9 |CHG/ATR nan |B/CHG -2.33 |B/ATR nan |V/LONG 1.4 |V/SHORT 1.0 |V/PREV 1.0 |O 100.0 |H 105.5 |L 99.2 |C 102.1 |V 1 Million
2000-05-22|NIU|H/Body 0.00 |T/Body 1.15 |CHG_PCT 6.6 |CHG/ATR nan |B/CHG 1.16 |B/ATR nan |V/LONG 1.3 |V/SHORT 0.9 |V/PREV 1.0 |O 101.0 |H 108.8 |L 92.1 |C 108.8 |V 1 Million
2000-05-23|NIU|H/Body 5.26 |T/Body 0.89 |CHG_PCT -0.8 |CHG/ATR nan |B/CHG -2.11 |B/ATR nan |V/LONG 2.0 |V/SHORT 1.2 |V/PREV 1.5 |O 106.0 |H 117.9 |L 104.3 |C 107.9 |V 2 Million
