2000-05-09|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG 0.0 |V/SHORT nan |V/PREV nan |O 4.4 |H 4.4 |L 4.4 |C 4.4 |V 0
2000-05-10|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG 0.0 |V/SHORT nan |V/PREV nan |O 4.4 |H 4.4 |L 4.4 |C 4.4 |V 0
2000-05-11|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG 0.0 |V/SHORT nan |V/PREV nan |O 4.4 |H 4.4 |L 4.4 |C 4.4 |V 0
2000-05-12|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG 0.0 |V/SHORT nan |V/PREV nan |O 4.4 |H 4.4 |L 4.4 |C 4.4 |V 0
2000-05-15|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG 0.0 |V/SHORT nan |V/PREV nan |O 4.4 |H 4.4 |L 4.4 |C 4.4 |V 0
2000-05-16|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG 0.0 |V/SHORT nan |V/PREV nan |O 4.4 |H 4.4 |L 4.4 |C 4.4 |V 0
2000-05-17|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG 0.0 |V/SHORT nan |V/PREV nan |O 4.4 |H 4.4 |L 4.4 |C 4.4 |V 0
2000-05-18|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG 0.0 |V/SHORT nan |V/PREV nan |O 4.4 |H 4.4 |L 4.4 |C 4.4 |V 0
2000-05-19|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG 0.0 |V/SHORT nan |V/PREV nan |O 4.4 |H 4.4 |L 4.4 |C 4.4 |V 0
2000-05-22|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG 0.0 |V/SHORT nan |V/PREV nan |O 4.4 |H 4.4 |L 4.4 |C 4.4 |V 0
2000-05-23|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG 0.0 |V/SHORT nan |V/PREV nan |O 4.4 |H 4.4 |L 4.4 |C 4.4 |V 0
2000-05-24|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR 0.0 |B/CHG inf |B/ATR 0.5 |V/LONG 0.0 |V/SHORT nan |V/PREV nan |O 4.4 |H 4.4 |L 4.4 |C 4.4 |V 0
2000-05-25|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR 0.0 |B/CHG inf |B/ATR 0.5 |V/LONG 0.0 |V/SHORT nan |V/PREV nan |O 4.4 |H 4.4 |L 4.4 |C 4.4 |V 0
2000-05-26|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR 0.0 |B/CHG inf |B/ATR 0.5 |V/LONG 0.0 |V/SHORT nan |V/PREV nan |O 4.4 |H 4.4 |L 4.4 |C 4.4 |V 0
2000-05-30|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR 0.0 |B/CHG inf |B/ATR 0.5 |V/LONG 0.0 |V/SHORT nan |V/PREV nan |O 4.4 |H 4.4 |L 4.4 |C 4.4 |V 0
2000-05-31|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR 0.0 |B/CHG inf |B/ATR 0.5 |V/LONG 0.0 |V/SHORT nan |V/PREV nan |O 4.4 |H 4.4 |L 4.4 |C 4.4 |V 0
2000-06-01|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR 0.0 |B/CHG inf |B/ATR 0.5 |V/LONG 0.0 |V/SHORT nan |V/PREV nan |O 4.4 |H 4.4 |L 4.4 |C 4.4 |V 0
2000-06-02|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR 0.0 |B/CHG inf |B/ATR 0.5 |V/LONG 0.0 |V/SHORT nan |V/PREV nan |O 4.4 |H 4.4 |L 4.4 |C 4.4 |V 0
2000-06-05|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR 0.0 |B/CHG inf |B/ATR 0.5 |V/LONG 0.0 |V/SHORT nan |V/PREV nan |O 4.4 |H 4.4 |L 4.4 |C 4.4 |V 0
2000-06-06|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR 0.0 |B/CHG inf |B/ATR 0.5 |V/LONG 0.0 |V/SHORT nan |V/PREV nan |O 4.4 |H 4.4 |L 4.4 |C 4.4 |V 0
2000-06-07|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR 0.0 |B/CHG inf |B/ATR 0.5 |V/LONG 0.0 |V/SHORT nan |V/PREV nan |O 4.4 |H 4.4 |L 4.4 |C 4.4 |V 0
2000-06-08|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR 0.0 |B/CHG inf |B/ATR 0.5 |V/LONG 0.0 |V/SHORT nan |V/PREV nan |O 4.4 |H 4.4 |L 4.4 |C 4.4 |V 0
