2000-04-04|RED|H/Body 2.58 |T/Body 1.08 |CHG_PCT -1.5 |CHG/ATR nan |B/CHG -0.32 |B/ATR nan |V/LONG 0.4 |V/SHORT 0.8 |V/PREV 0.8 |O 25.0 |H 25.3 |L 24.8 |C 24.9 |V 29 Thousand
2000-04-05|NIU|H/Body 0.00 |T/Body 0.68 |CHG_PCT 2.5 |CHG/ATR nan |B/CHG 0.60 |B/ATR nan |V/LONG 0.1 |V/SHORT 0.2 |V/PREV 0.2 |O 25.1 |H 25.5 |L 24.9 |C 25.5 |V 6 Thousand
2000-04-06|NIU|H/Body 0.16 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG 0.3 |V/SHORT 0.7 |V/PREV 3.2 |O 25.1 |H 25.6 |L 25.1 |C 25.5 |V 19 Thousand
2000-04-07|RED|H/Body 4.67 |T/Body 0.00 |CHG_PCT -2.4 |CHG/ATR nan |B/CHG -0.19 |B/ATR nan |V/LONG 0.8 |V/SHORT 2.4 |V/PREV 3.1 |O 25.0 |H 25.6 |L 24.9 |C 24.9 |V 58 Thousand
2000-04-10|RED|H/Body 0.21 |T/Body 0.11 |CHG_PCT -2.3 |CHG/ATR nan |B/CHG -1.00 |B/ATR nan |V/LONG 5.5 |V/SHORT 12.7 |V/PREV 6.6 |O 24.9 |H 25.0 |L 24.2 |C 24.3 |V 382 Thousand
2000-04-11|NIU|H/Body 0.50 |T/Body 20.83 |CHG_PCT 0.8 |CHG/ATR nan |B/CHG 0.63 |B/ATR nan |V/LONG 0.7 |V/SHORT 0.6 |V/PREV 0.1 |O 24.4 |H 24.6 |L 21.9 |C 24.5 |V 55 Thousand
2000-04-12|RED|H/Body 0.24 |T/Body 0.76 |CHG_PCT -2.3 |CHG/ATR nan |B/CHG -0.45 |B/ATR nan |V/LONG 1.2 |V/SHORT 0.9 |V/PREV 1.8 |O 24.2 |H 24.2 |L 23.8 |C 23.9 |V 98 Thousand
2000-04-13|NIU|H/Body 1.08 |T/Body 0.00 |CHG_PCT 0.3 |CHG/ATR nan |B/CHG 2.00 |B/ATR nan |V/LONG 1.0 |V/SHORT 0.7 |V/PREV 0.8 |O 23.9 |H 24.1 |L 23.9 |C 24.0 |V 81 Thousand
2000-04-14|RED|H/Body 0.00 |T/Body 0.16 |CHG_PCT -3.1 |CHG/ATR nan |B/CHG -1.00 |B/ATR nan |V/LONG 0.2 |V/SHORT 0.1 |V/PREV 0.2 |O 24.0 |H 24.0 |L 23.1 |C 23.2 |V 13 Thousand
2000-04-17|RED|H/Body 0.16 |T/Body 0.52 |CHG_PCT -7.8 |CHG/ATR nan |B/CHG -0.86 |B/ATR nan |V/LONG 0.2 |V/SHORT 0.2 |V/PREV 1.5 |O 23.0 |H 23.2 |L 20.6 |C 21.4 |V 19 Thousand
2000-04-18|RED|H/Body 0.12 |T/Body 0.07 |CHG_PCT -1.4 |CHG/ATR nan |B/CHG -3.23 |B/ATR nan |V/LONG 0.7 |V/SHORT 1.0 |V/PREV 2.7 |O 22.1 |H 22.2 |L 21.1 |C 21.1 |V 53 Thousand
