2009-11-23|RED|H/Body 0.21 |T/Body 0.08 |CHG_PCT -0.7 |CHG/ATR nan |B/CHG -4.00 |B/ATR nan |V/LONG 0.6 |V/SHORT 0.8 |V/PREV 2.0 |O 8.8 |H 8.8 |L 8.5 |C 8.5 |V 96 Thousand
2009-11-24|NIU|H/Body 1.57 |T/Body 5.00 |CHG_PCT -0.2 |CHG/ATR nan |B/CHG -3.50 |B/ATR nan |V/LONG 0.4 |V/SHORT 0.6 |V/PREV 0.6 |O 8.4 |H 8.6 |L 8.1 |C 8.5 |V 59 Thousand
2009-11-25|RED|H/Body 0.90 |T/Body 0.33 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG 0.5 |V/SHORT 0.8 |V/PREV 1.2 |O 8.8 |H 9.1 |L 8.4 |C 8.5 |V 73 Thousand
2009-11-27|RED|H/Body 0.57 |T/Body 0.17 |CHG_PCT -4.6 |CHG/ATR nan |B/CHG -0.59 |B/ATR nan |V/LONG 0.3 |V/SHORT 0.6 |V/PREV 0.5 |O 8.4 |H 8.5 |L 8.1 |C 8.1 |V 39 Thousand
2009-11-30|NIU|H/Body 0.42 |T/Body 0.00 |CHG_PCT 2.8 |CHG/ATR nan |B/CHG 0.83 |B/ATR nan |V/LONG 0.3 |V/SHORT 0.7 |V/PREV 1.1 |O 8.2 |H 8.4 |L 8.2 |C 8.4 |V 42 Thousand
2009-12-01|RED|H/Body 2.57 |T/Body 0.86 |CHG_PCT 1.1 |CHG/ATR nan |B/CHG 0.78 |B/ATR nan |V/LONG 0.5 |V/SHORT 1.2 |V/PREV 1.8 |O 8.5 |H 8.7 |L 8.4 |C 8.4 |V 74 Thousand
2009-12-02|NIU|H/Body 6.90 |T/Body 20.00 |CHG_PCT -0.5 |CHG/ATR nan |B/CHG -0.25 |B/ATR nan |V/LONG 1.1 |V/SHORT 2.7 |V/PREV 2.1 |O 8.4 |H 8.5 |L 8.2 |C 8.4 |V 154 Thousand
2009-12-03|RED|H/Body 0.00 |T/Body 0.69 |CHG_PCT -1.1 |CHG/ATR nan |B/CHG -2.89 |B/ATR nan |V/LONG 0.7 |V/SHORT 1.3 |V/PREV 0.6 |O 8.6 |H 8.6 |L 8.1 |C 8.3 |V 99 Thousand
2009-12-04|RED|H/Body 0.60 |T/Body 5.20 |CHG_PCT 2.0 |CHG/ATR nan |B/CHG 0.29 |B/ATR nan |V/LONG 0.7 |V/SHORT 1.1 |V/PREV 0.9 |O 8.5 |H 8.6 |L 8.2 |C 8.5 |V 94 Thousand
2009-12-07|RED|H/Body 0.15 |T/Body 0.34 |CHG_PCT 6.0 |CHG/ATR nan |B/CHG 1.27 |B/ATR nan |V/LONG 7.0 |V/SHORT 10.6 |V/PREV 10.5 |O 9.7 |H 9.8 |L 8.8 |C 9.0 |V 982 Thousand
2009-12-08|NIU|H/Body 1.47 |T/Body 1.37 |CHG_PCT 4.1 |CHG/ATR nan |B/CHG 0.51 |B/ATR nan |V/LONG 2.2 |V/SHORT 1.4 |V/PREV 0.4 |O 9.2 |H 9.7 |L 8.9 |C 9.4 |V 379 Thousand
2009-12-09|NIU|H/Body 6.00 |T/Body 0.00 |CHG_PCT 1.4 |CHG/ATR nan |B/CHG 0.31 |B/ATR nan |V/LONG 1.4 |V/SHORT 0.8 |V/PREV 0.7 |O 9.5 |H 9.7 |L 9.5 |C 9.5 |V 260 Thousand
2009-12-10|RED|H/Body 0.21 |T/Body 0.15 |CHG_PCT -2.6 |CHG/ATR nan |B/CHG -1.36 |B/ATR nan |V/LONG 1.2 |V/SHORT 0.6 |V/PREV 0.9 |O 9.6 |H 9.7 |L 9.2 |C 9.2 |V 221 Thousand
2009-12-11|RED|H/Body 1.50 |T/Body 2.00 |CHG_PCT 1.0 |CHG/ATR nan |B/CHG 0.67 |B/ATR nan |V/LONG 1.0 |V/SHORT 0.5 |V/PREV 0.8 |O 9.4 |H 9.5 |L 9.2 |C 9.3 |V 177 Thousand
2009-12-14|RED|H/Body 2.00 |T/Body 1.20 |CHG_PCT 1.1 |CHG/ATR nan |B/CHG 0.50 |B/ATR nan |V/LONG 1.0 |V/SHORT 0.5 |V/PREV 1.1 |O 9.5 |H 9.6 |L 9.4 |C 9.4 |V 194 Thousand
2009-12-15|RED|H/Body 0.71 |T/Body 0.29 |CHG_PCT -2.1 |CHG/ATR nan |B/CHG -1.05 |B/ATR nan |V/LONG 1.1 |V/SHORT 0.8 |V/PREV 1.0 |O 9.4 |H 9.6 |L 9.2 |C 9.2 |V 199 Thousand
2009-12-16|RED|H/Body 0.00 |T/Body 0.35 |CHG_PCT 0.1 |CHG/ATR nan |B/CHG 17.00 |B/ATR nan |V/LONG 0.4 |V/SHORT 0.4 |V/PREV 0.4 |O 9.4 |H 9.4 |L 9.2 |C 9.2 |V 79 Thousand
