2015-03-24|NIU|H/Body 0.06 |T/Body 0.76 |CHG_PCT 0.3 |CHG/ATR nan |B/CHG 8.50 |B/ATR nan |V/LONG 0.6 |V/SHORT 0.6 |V/PREV 0.8 |O 7.0 |H 7.1 |L 6.8 |C 7.1 |V 5 Million
2015-03-25|NIU|H/Body 0.55 |T/Body 0.24 |CHG_PCT 3.6 |CHG/ATR nan |B/CHG 1.12 |B/ATR nan |V/LONG 0.7 |V/SHORT 0.8 |V/PREV 1.2 |O 7.1 |H 7.5 |L 7.0 |C 7.4 |V 6 Million
2015-03-26|NIU|H/Body 1.46 |T/Body 2.27 |CHG_PCT 1.9 |CHG/ATR nan |B/CHG 0.93 |B/ATR nan |V/LONG 1.0 |V/SHORT 1.2 |V/PREV 1.5 |O 7.4 |H 7.7 |L 7.1 |C 7.5 |V 9 Million
2015-03-27|NIU|H/Body 1.20 |T/Body 1.30 |CHG_PCT 0.3 |CHG/ATR nan |B/CHG 5.00 |B/ATR nan |V/LONG 0.8 |V/SHORT 0.9 |V/PREV 0.8 |O 7.5 |H 7.7 |L 7.3 |C 7.5 |V 7 Million
2015-03-30|NIU|H/Body 1.11 |T/Body 0.39 |CHG_PCT 1.2 |CHG/ATR nan |B/CHG 1.00 |B/ATR nan |V/LONG 0.5 |V/SHORT 0.6 |V/PREV 0.6 |O 7.5 |H 7.7 |L 7.5 |C 7.6 |V 4 Million
2015-03-31|NIU|H/Body 1.98 |T/Body 0.54 |CHG_PCT -0.4 |CHG/ATR nan |B/CHG -4.33 |B/ATR nan |V/LONG 0.7 |V/SHORT 0.9 |V/PREV 1.5 |O 7.5 |H 7.9 |L 7.4 |C 7.6 |V 6 Million
2015-04-01|NIU|H/Body 0.71 |T/Body 0.11 |CHG_PCT 4.5 |CHG/ATR nan |B/CHG 0.82 |B/ATR nan |V/LONG 1.0 |V/SHORT 1.3 |V/PREV 1.4 |O 7.7 |H 8.2 |L 7.6 |C 8.0 |V 8 Million
2015-04-02|NIU|H/Body 2.13 |T/Body 0.33 |CHG_PCT 2.9 |CHG/ATR nan |B/CHG 0.65 |B/ATR nan |V/LONG 1.0 |V/SHORT 1.2 |V/PREV 1.0 |O 8.0 |H 8.5 |L 8.0 |C 8.2 |V 8 Million
2015-04-06|NIU|H/Body 0.48 |T/Body 0.00 |CHG_PCT 3.2 |CHG/ATR nan |B/CHG 0.85 |B/ATR nan |V/LONG 1.0 |V/SHORT 1.2 |V/PREV 1.0 |O 8.2 |H 8.5 |L 8.2 |C 8.4 |V 8 Million
2015-04-07|RED|H/Body 0.36 |T/Body 0.04 |CHG_PCT -4.3 |CHG/ATR nan |B/CHG -0.78 |B/ATR nan |V/LONG 1.4 |V/SHORT 1.7 |V/PREV 1.4 |O 8.4 |H 8.5 |L 8.1 |C 8.1 |V 11 Million
2015-04-08|RED|H/Body 0.93 |T/Body 0.93 |CHG_PCT -1.6 |CHG/ATR nan |B/CHG -1.08 |B/ATR nan |V/LONG 0.7 |V/SHORT 0.7 |V/PREV 0.5 |O 8.1 |H 8.2 |L 7.8 |C 8.0 |V 6 Million
2015-04-09|NIU|H/Body 1.00 |T/Body 0.09 |CHG_PCT 1.8 |CHG/ATR 0.3 |B/CHG 0.79 |B/ATR 0.2 |V/LONG 0.7 |V/SHORT 0.7 |V/PREV 1.0 |O 8.0 |H 8.2 |L 8.0 |C 8.1 |V 6 Million
