2002-12-19|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG 0.0 |V/SHORT nan |V/PREV nan |O 4.0 |H 4.0 |L 4.0 |C 4.0 |V 0
2002-12-20|RED|H/Body 100.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG 1.3 |V/SHORT inf |V/PREV inf |O 4.0 |H 5.0 |L 4.0 |C 4.0 |V 800
2002-12-23|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG 0.0 |V/SHORT 0.0 |V/PREV 0.0 |O 4.0 |H 4.0 |L 4.0 |C 4.0 |V 0
2002-12-24|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG 0.0 |V/SHORT 0.0 |V/PREV nan |O 4.0 |H 4.0 |L 4.0 |C 4.0 |V 0
2002-12-26|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG 0.0 |V/SHORT 0.0 |V/PREV nan |O 4.0 |H 4.0 |L 4.0 |C 4.0 |V 0
2002-12-27|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG 12.6 |V/SHORT 43.8 |V/PREV inf |O 4.0 |H 4.0 |L 4.0 |C 4.0 |V 7 Thousand
2002-12-30|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG 0.0 |V/SHORT 0.0 |V/PREV 0.0 |O 4.0 |H 4.0 |L 4.0 |C 4.0 |V 0
2002-12-31|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG 1.7 |V/SHORT 0.9 |V/PREV inf |O 4.0 |H 4.0 |L 4.0 |C 4.0 |V 1 Thousand
2003-01-02|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG 0.0 |V/SHORT 0.0 |V/PREV 0.0 |O 4.0 |H 4.0 |L 4.0 |C 4.0 |V 0
2003-01-03|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG 1.3 |V/SHORT 0.6 |V/PREV inf |O 4.0 |H 4.0 |L 4.0 |C 4.0 |V 1 Thousand
2003-01-06|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG 0.0 |V/SHORT 0.0 |V/PREV 0.0 |O 4.0 |H 4.0 |L 4.0 |C 4.0 |V 0
2003-01-07|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG 0.0 |V/SHORT 0.0 |V/PREV nan |O 4.0 |H 4.0 |L 4.0 |C 4.0 |V 0
2003-01-08|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG 0.0 |V/SHORT 0.0 |V/PREV nan |O 4.0 |H 4.0 |L 4.0 |C 4.0 |V 0
2003-01-09|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG 0.0 |V/SHORT 0.0 |V/PREV nan |O 4.0 |H 4.0 |L 4.0 |C 4.0 |V 0
2003-01-10|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG 0.0 |V/SHORT 0.0 |V/PREV nan |O 4.0 |H 4.0 |L 4.0 |C 4.0 |V 0
2003-01-13|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG 0.0 |V/SHORT nan |V/PREV nan |O 4.0 |H 4.0 |L 4.0 |C 4.0 |V 0
2003-01-14|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG 0.0 |V/SHORT nan |V/PREV nan |O 4.0 |H 4.0 |L 4.0 |C 4.0 |V 0
2003-01-15|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG 0.0 |V/SHORT nan |V/PREV nan |O 4.0 |H 4.0 |L 4.0 |C 4.0 |V 0
